sex,age,len_head,width_skull,len_earconch,width_eye,len_foot,len_tail,chest,belly,len_total
0,8.0,94.1,60.4,54.5,15.2,74.5,36.0,28.0,36.0,89.0
1,6.0,92.5,57.6,51.2,16.0,72.5,36.5,28.5,33.0,91.5
1,6.0,94.0,60.0,51.9,15.5,75.4,39.0,30.0,34.0,95.5
1,6.0,93.2,57.1,52.2,15.2,76.1,38.0,28.0,34.0,92.0
1,2.0,91.5,56.3,53.2,15.1,71.0,36.0,28.5,33.0,85.5
1,1.0,93.1,54.8,53.6,14.2,73.2,35.5,30.0,32.0,90.5
0,2.0,95.3,58.2,52.0,14.2,71.5,36.0,30.0,34.5,89.5
1,6.0,94.8,57.6,53.9,14.5,72.7,37.0,29.0,34.0,91.0
1,9.0,93.4,56.3,52.9,15.5,72.4,37.0,28.0,33.0,91.5
1,6.0,91.8,58.0,53.4,14.4,70.9,37.5,27.5,32.0,89.5
1,9.0,93.3,57.2,51.3,14.9,77.2,39.0,31.0,34.0,89.5
1,5.0,94.9,55.6,51.0,15.3,71.7,35.5,28.0,33.0,92.0
0,5.0,95.1,59.9,49.8,15.8,71.0,36.0,27.0,32.0,89.5
0,3.0,95.4,57.6,53.7,15.1,74.3,36.0,28.0,31.5,91.5
0,5.0,92.9,57.6,51.8,15.7,69.7,34.0,28.0,35.0,85.5
0,4.0,91.6,56.0,51.4,14.4,73.0,34.5,28.0,32.0,86.0
1,1.0,94.7,67.7,53.2,14.7,73.2,36.5,29.0,31.0,89.5
0,2.0,93.5,55.7,55.4,15.3,73.7,36.0,28.0,32.0,90.0
1,5.0,94.4,55.4,53.9,15.2,73.4,35.0,28.0,32.0,90.5
1,4.0,94.8,56.3,52.4,15.5,73.8,38.0,27.0,36.0,89.0
1,3.0,95.9,58.1,52.9,14.2,77.9,39.5,30.0,40.0,96.5
0,3.0,96.3,58.5,52.1,16.2,73.5,39.5,28.0,36.0,91.0
1,4.0,92.5,56.1,53.3,15.4,72.8,36.0,28.0,35.0,89.0
0,2.0,94.4,54.9,53.5,16.2,75.0,34.0,27.0,32.0,84.0
0,3.0,95.8,58.5,51.6,14.9,72.3,35.5,31.0,35.0,91.5
0,7.0,96.0,59.0,56.2,15.0,73.6,36.0,29.0,38.0,90.0
1,2.0,90.5,54.5,50.8,14.2,70.3,35.0,23.0,28.0,85.0
0,4.0,93.8,56.8,53.0,15.3,73.2,34.5,27.0,30.0,87.0
1,3.0,92.8,56.0,51.8,14.0,74.9,35.0,24.0,32.0,88.0
1,2.0,92.1,54.4,50.8,14.5,70.6,33.5,24.5,33.0,84.0
0,3.0,92.8,54.1,52.5,14.5,68.0,37.0,27.0,31.0,93.0
1,4.0,94.3,56.7,52.0,14.9,74.8,39.0,28.0,34.0,94.0
0,3.0,91.4,54.6,51.8,14.8,70.8,37.0,24.0,30.0,89.0
0,2.0,90.6,55.7,53.1,14.4,73.1,36.5,26.0,28.5,85.5
0,4.0,94.4,57.9,55.5,16.4,71.2,35.5,28.0,35.5,85.0
0,7.0,93.3,59.3,52.0,14.9,74.3,35.0,25.5,36.0,88.0
1,2.0,89.3,54.8,52.0,13.6,71.2,35.0,28.0,31.5,82.5
0,7.0,92.4,56.0,49.5,15.9,68.4,35.5,27.0,30.0,80.5
1,1.0,84.7,51.5,53.4,13.0,68.7,34.0,25.0,25.0,75.0
1,3.0,91.0,55.0,51.4,13.6,72.8,36.0,27.0,30.0,84.5
0,3.0,85.3,54.1,51.2,13.8,62.7,32.0,25.5,33.0,77.0
1,2.0,90.0,55.5,49.4,13.4,72.0,32.0,29.0,31.0,81.0
0,3.0,90.7,55.9,54.0,14.6,71.5,34.0,27.0,31.5,81.0
0,2.0,90.1,54.8,45.5,15.0,66.0,37.5,25.0,33.0,89.0
0,5.0,98.6,63.2,44.9,17.0,66.9,34.0,28.0,35.0,85.0
0,4.0,95.4,59.2,45.0,15.9,69.0,37.0,29.5,35.5,85.0
1,5.0,91.6,56.4,47.2,14.9,65.0,38.0,28.0,36.0,88.0
1,5.0,95.6,59.6,43.9,17.4,64.0,36.0,28.0,38.5,85.0
0,6.0,97.6,61.0,44.3,15.8,67.9,40.0,28.5,32.5,93.5
1,3.0,93.1,58.1,46.0,16.5,67.4,38.0,26.0,33.5,91.0
0,7.0,96.9,63.0,46.0,17.5,71.3,43.0,30.0,36.5,91.5
0,2.0,103.1,63.2,44.9,16.4,72.5,38.0,30.5,36.0,92.5
0,3.0,99.9,61.5,46.8,16.4,68.7,38.0,27.5,31.5,93.7
1,4.0,95.1,59.4,45.3,14.5,67.2,41.0,31.0,39.0,93.0
0,3.0,94.5,64.2,46.4,14.4,66.5,39.0,30.5,33.0,91.0
0,2.0,102.5,62.8,44.5,14.7,73.2,40.0,32.0,36.0,96.0
1,2.0,91.3,57.7,47.0,14.4,63.1,39.0,26.0,30.0,88.0
0,7.0,95.7,59.0,44.9,15.0,63.1,38.0,26.5,31.0,86.0
1,3.0,91.3,58.0,41.3,16.0,65.5,39.0,27.0,32.0,90.5
1,6.0,92.0,56.4,46.3,15.2,64.1,38.0,25.5,28.5,88.5
1,3.0,96.9,56.5,45.1,17.1,63.0,38.5,25.5,33.0,89.5
1,5.0,93.5,57.4,41.7,14.0,68.2,38.0,29.0,38.5,88.5
1,3.0,90.4,55.8,44.2,15.7,63.2,36.5,26.5,34.0,86.0
0,4.0,93.3,57.6,44.1,16.5,64.7,36.5,27.5,29.5,85.0
0,5.0,94.1,56.0,43.1,17.4,65.9,38.0,27.0,30.0,88.5
0,5.0,98.0,55.6,45.6,15.0,65.0,37.5,28.5,34.0,88.0
1,7.0,91.9,56.4,44.1,13.0,65.4,38.0,27.0,34.0,87.0
0,6.0,92.8,57.6,42.8,15.0,65.7,40.0,27.5,34.0,90.0
0,1.0,85.9,52.4,42.4,14.1,62.0,35.0,25.5,30.0,80.5
0,1.0,82.5,52.3,44.7,16.0,65.7,36.5,23.5,28.0,82.0
1,4.0,88.7,52.0,45.9,14.7,61.5,38.0,26.0,34.0,83.0
0,6.0,93.8,58.1,45.6,16.9,66.2,38.0,26.0,33.5,89.0
0,5.0,92.4,56.8,46.4,17.8,64.5,41.0,26.0,33.0,89.0
0,6.0,93.6,56.2,42.9,16.2,62.8,36.0,25.0,35.0,84.0
0,1.0,86.5,51.0,44.3,13.2,63.0,36.5,23.0,28.0,81.0
0,1.0,85.8,50.0,43.0,14.8,62.8,36.5,22.0,28.5,81.0
0,1.0,86.7,52.6,44.8,15.0,62.3,38.0,23.5,30.5,84.0
0,3.0,90.6,56.0,41.7,17.0,65.6,38.0,27.5,35.0,85.5
1,4.0,86.0,54.0,42.9,15.4,60.7,36.5,26.0,32.0,82.0
1,3.0,90.0,53.8,43.3,14.0,62.0,36.0,25.0,29.0,81.5
0,3.0,88.4,54.6,43.6,16.3,62.6,36.0,25.0,28.5,80.5
0,3.0,89.5,56.2,43.5,14.5,65.6,40.5,27.0,31.5,92.0
1,3.0,88.2,53.2,43.7,13.6,60.3,38.5,26.0,31.0,86.5
0,2.0,98.5,60.7,46.8,15.0,71.7,41.5,26.0,36.0,93.0
1,2.0,89.6,58.0,43.5,16.0,66.7,38.0,25.5,31.5,87.5
0,6.0,97.7,58.4,46.2,14.4,64.4,35.0,29.0,30.5,84.5
0,3.0,92.6,54.6,44.8,14.5,69.8,38.5,25.5,32.5,85.0
0,3.0,97.8,59.6,48.0,15.0,65.5,38.0,26.0,32.0,89.0
0,2.0,90.7,56.3,46.8,14.5,67.6,37.0,25.5,31.0,85.0
0,3.0,89.2,54.0,44.9,12.8,63.8,38.0,24.0,31.0,82.0
0,7.0,91.8,57.6,45.1,14.4,64.2,35.5,29.0,35.0,84.0
0,4.0,91.6,56.6,45.4,14.9,64.5,37.5,27.0,31.0,88.5
0,4.0,94.8,55.7,47.7,14.0,66.5,38.0,25.0,33.0,83.0
0,3.0,91.0,53.1,46.0,14.5,63.8,38.0,25.0,31.5,86.0
0,5.0,93.2,68.6,44.3,14.5,65.6,35.0,28.5,32.0,84.0
1,3.0,93.3,56.2,43.8,14.0,64.8,38.5,28.0,35.0,86.5
0,1.0,89.5,56.0,46.8,14.8,66.0,36.5,23.0,27.0,81.5
0,1.0,88.6,54.7,48.0,14.0,64.4,39.0,25.0,33.0,82.5
1,6.0,92.4,55.0,45.4,13.0,63.5,38.0,25.0,30.0,89.0
0,4.0,91.5,55.2,45.9,15.4,62.9,36.5,25.0,29.0,82.5
1,3.0,93.6,59.9,46.0,14.8,67.6,40.0,28.5,33.5,89.0
